Word,Joint_Prob,Posterior_Prob,Frequency
ernest,1.3571428571428572,0.6785714285714286,2
jumpstart,1.3529411764705879,0.6764705882352939,2
wear,1.3461538461538465,0.6730769230769232,2
project,1.345041322314049,0.4483471074380163,3
va,1.3421052631578947,0.6710526315789473,2
govern,1.338709677419354,0.4462365591397847,3
quota,1.3235294117647056,0.44117647058823517,3
nato,1.3235294117647056,0.44117647058823517,3
mitch,1.3200000000000003,0.6600000000000001,2
uaw,1.318181818181818,0.659090909090909,2
crucial,1.313084112149532,0.656542056074766,2
poster,1.3124999999999996,0.4374999999999999,3
dublin,1.3076923076923086,0.6538461538461543,2
women,1.307394668959587,0.6536973344797935,2
heather,1.305555555555556,0.652777777777778,2
mel,1.2950819672131153,0.6475409836065577,2
dakota,1.2934782608695652,0.6467391304347826,2
lamb,1.2857142857142874,0.21428571428571458,6
havel,1.2857142857142858,0.6428571428571429,2
extinguish,1.2857142857142858,0.6428571428571429,2
v,1.2857142857142858,0.6428571428571429,2
close,1.28041825095057,0.42680608365018996,3
carl,1.2702702702702695,0.6351351351351348,2
hybrid,1.266666666666667,0.6333333333333335,2
ronald,1.260869565217391,0.6304347826086955,2
robert,1.258474576271186,0.4194915254237287,3
'82,1.250000000000001,0.416666666666667,3
sulphur,1.2499999999999996,0.6249999999999998,2
gator,1.2499999999999996,0.6249999999999998,2
amana,1.2499999999999996,0.6249999999999998,2
sittin,1.2499999999999996,0.6249999999999998,2
chairperson,1.2499999999999996,0.6249999999999998,2
henley,1.2499999999999996,0.6249999999999998,2
bronco,1.2499999999999996,0.6249999999999998,2
burgess,1.2499999999999996,0.6249999999999998,2
kuralt,1.2499999999999996,0.6249999999999998,2
abideth,1.2499999999999996,0.6249999999999998,2
comic,1.2499999999999996,0.6249999999999998,2
eec,1.2499999999999996,0.6249999999999998,2
norad,1.2499999999999996,0.6249999999999998,2
gotcha,1.2499999999999996,0.6249999999999998,2
amateur,1.2499999999999996,0.6249999999999998,2
schenk,1.2499999999999996,0.6249999999999998,2
£24,1.2499999999999996,0.6249999999999998,2
gaylord,1.2499999999999996,0.6249999999999998,2
lyndsey,1.249999999999997,0.2499999999999994,5
join,1.2479674796747962,0.6239837398373981,2
?,1.2414675767918086,0.41382252559726956,3
attorney,1.2404580152671751,0.6202290076335876,2
co-chairman,1.235294117647057,0.6176470588235285,2
repaid,1.235294117647057,0.6176470588235285,2
mercer,1.235294117647057,0.6176470588235285,2
men,1.2315685304304802,0.6157842652152401,2
auto,1.229885057471265,0.6149425287356325,2
naral,1.2272727272727264,0.4090909090909088,3
carla,1.2222222222222217,0.6111111111111108,2
blare,1.2222222222222217,0.6111111111111108,2
riot,1.2187500000000004,0.4062500000000001,3
solemn,1.2166666666666661,0.6083333333333331,2
forward,1.212765957446808,0.606382978723404,2
rather,1.2115384615384621,0.4038461538461541,3
governor,1.2097855227882042,0.6048927613941021,2
cleaner,1.2083333333333324,0.6041666666666662,2
holiday,1.2073170731707323,0.4024390243902441,3
rule,1.2053571428571423,0.40178571428571414,3
congress,1.2040253653156876,0.6020126826578438,2
florida,1.200514138817481,0.6002570694087405,2
wharton,1.2000000000000004,0.3000000000000001,4
harkin,1.1976744186046513,0.5988372093023256,2
iron,1.1973684210526319,0.5986842105263159,2
